   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.255    0.255   92.644   92.644 compute_ca_angles.py:179(compute_angles_all)
     3060    0.242    0.000   81.092    0.027 compute_ca_angles.py:72(run_tmalign)
     3061    0.065    0.000   80.083    0.026 subprocess.py:506(run)
     3061    0.017    0.000   78.340    0.026 subprocess.py:1165(communicate)
     6122    0.110    0.000   78.314    0.013 subprocess.py:1259(wait)
     6122    0.048    0.000   78.149    0.013 subprocess.py:2021(_wait)
     3061    0.012    0.000   78.040    0.025 subprocess.py:2008(_try_wait)
     3061   75.559    0.025   78.027    0.025 {built-in method posix.waitpid}
     3059    7.063    0.002   10.918    0.004 compute_ca_angles.py:31(compute_ca_skeleton_angles)
 14404346    2.144    0.000    2.144    0.000 {method 'strip' of 'str' objects}
6242/3185    0.022    0.000    2.068    0.001 pymol_gl_widget.py:132(event)
6241/3185    0.610    0.000    2.017    0.001 {function PyMOLGLWidget.event at 0x7a9950dd0900}
     3061    0.032    0.000    1.667    0.001 subprocess.py:807(__init__)
     3061    0.085    0.000    1.556    0.001 subprocess.py:1791(_execute_child)
     3057    0.048    0.000    1.322    0.000 pymol_gl_widget.py:202(paintGL)
     3057    0.047    0.000    1.240    0.000 __init__.py:43(draw)
     3057    1.102    0.000    1.156    0.000 {built-in method pymol._cmd._draw}
     3061    0.874    0.000    1.040    0.000 {built-in method _posixsubprocess.fork_exec}
  4075818    0.854    0.000    0.854    0.000 {method 'startswith' of 'str' objects}
7440/7439    0.076    0.000    0.722    0.000 pymol_gl_widget.py:245(_pymolProcess)
       36    0.002    0.000    0.656    0.018 __init__.py:1(<module>)
     9188    0.434    0.000    0.584    0.000 {built-in method _io.open}
     7439    0.021    0.000    0.420    0.000 __init__.py:34(idle)
   348/15    0.002    0.000    0.348    0.023 <frozen importlib._bootstrap>:1349(_find_and_load)
   348/15    0.001    0.000    0.347    0.023 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   334/15    0.001    0.000    0.345    0.023 <frozen importlib._bootstrap>:911(_load_unlocked)
   294/15    0.001    0.000    0.345    0.023 <frozen importlib._bootstrap_external>:989(exec_module)
   793/26    0.002    0.000    0.343    0.013 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     7439    0.109    0.000    0.317    0.000 {built-in method pymol._cmd._idle}
        1    0.170    0.170    0.316    0.316 prepare_data.py:32(find_proteins_by_family)
   430/20    0.001    0.000    0.280    0.014 {built-in method builtins.__import__}
   372/72    0.001    0.000    0.279    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    10650    0.265    0.000    0.266    0.000 {built-in method numpy.array}
     3060    0.176    0.000    0.266    0.000 compute_ca_angles.py:95(get_residue_mapping)
18818/18812    0.076    0.000    0.246    0.000 locking.py:40(unlock)
        1    0.000    0.000    0.197    0.197 prepare_data.py:1(<module>)
   964135    0.195    0.000    0.195    0.000 {method 'append' of 'list' objects}
      185    0.006    0.000    0.179    0.001 pymol_qt_gui.py:941(update_feedback)
     6118    0.070    0.000    0.167    0.000 _linalg.py:2624(norm)
    11/10    0.000    0.000    0.160    0.016 threading.py:637(wait)
    11/10    0.009    0.001    0.160    0.016 threading.py:323(wait)
    30610    0.029    0.000    0.149    0.000 subprocess.py:1880(<genexpr>)
     3061    0.046    0.000    0.147    0.000 <frozen os>:625(get_exec_path)
      185    0.142    0.001    0.142    0.001 {built-in method appendHtml}
   546016    0.141    0.000    0.141    0.000 {method 'split' of 'str' objects}
     3061    0.135    0.000    0.136    0.000 {built-in method posix.remove}
18695/18688    0.114    0.000    0.125    0.000 {method 'acquire' of '_thread.lock' objects}
    50004    0.053    0.000    0.116    0.000 <frozen codecs>:319(decode)
        1    0.004    0.004    0.116    0.116 {built-in method show}
    31901    0.059    0.000    0.096    0.000 <frozen posixpath>:71(join)
     4342    0.092    0.000    0.092    0.000 {built-in method builtins.print}
    18386    0.026    0.000    0.086    0.000 locking.py:29(lock_attempt)
     7439    0.005    0.000    0.083    0.000 __init__.py:37(getRedisplay)
     6132    0.081    0.000    0.082    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    18650    0.037    0.000    0.081    0.000 threading.py:1220(is_alive)
18829/18726    0.061    0.000    0.080    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.079    0.079 cmd.py:1(<module>)
     7439    0.021    0.000    0.077    0.000 {built-in method pymol._cmd._getRedisplay}
     3061    0.024    0.000    0.074    0.000 subprocess.py:1688(_get_handles)
        1    0.002    0.002    0.071    0.071 prepare_data.py:106(extract_all_chains)
     3061    0.040    0.000    0.067    0.000 {method 'close' of '_io.TextIOWrapper' objects}
  334/325    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     3060    0.004    0.000    0.064    0.000 prepare_data.py:127(extract_chain)
    50004    0.063    0.000    0.063    0.000 {built-in method _codecs.utf_8_decode}
      294    0.002    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     6419    0.043    0.000    0.058    0.000 {method '__exit__' of '_io._IOBase' objects}
